Id,created,updated,clientSystemId,points,groupId
135791125,01/08/2015,29/08/2015,4500,250,נויה
135791140,01/08/2015,29/08/2015,4501,255,נויה
135791155,15/07/2015,29/08/2015,4502,75,נויה
135791170,01/08/2015,29/08/2015,4503,100,נויה
135791185,01/08/2015,29/08/2015,4504,105,נויה
135791200,15/08/2015,29/08/2015,4505,195,נויה
135791215,01/08/2015,29/08/2015,4506,200,נויה
135791230,01/07/2015,29/08/2015,4507,20,נויה
135791245,01/08/2015,29/08/2015,4508,35,נויה
135791260,01/08/2015,29/08/2015,4509,150,נויה
135791275,01/08/2015,29/08/2015,4510,155,נויה
135791290,01/07/2015,29/08/2015,4511,160,יפית
135791305,15/07/2015,29/08/2015,4512,23,יפית
135791320,01/08/2015,29/08/2015,4513,55,יפית
135791335,15/07/2015,29/08/2015,4514,60,יפית
135791350,01/08/2015,29/08/2015,4515,100,יפית
135791365,01/08/2015,29/08/2015,4516,150,יפית
135791380,01/08/2015,29/08/2015,4517,155,יפית
135791395,15/07/2015,29/08/2015,4518,200,יפית
135791410,01/08/2015,29/08/2015,4519,280,יפית
135791425,15/08/2015,29/08/2015,4520,100,יפית
135791440,01/08/2015,29/08/2015,4521,150,יותם
135791455,01/08/2015,29/08/2015,4522,155,יותם
135791470,01/08/2015,29/08/2015,4523,25,יותם
135791485,01/08/2015,29/08/2015,4524,30,יותם
135791500,15/08/2015,29/08/2015,4525,260,יותם
135791515,01/08/2015,29/08/2015,4526,265,יותם
135791530,01/07/2015,29/08/2015,4527,200,יותם
135791545,01/08/2015,29/08/2015,4528,205,שמעון
135791560,01/08/2015,29/08/2015,4529,55,שמעון
135791575,01/08/2015,29/08/2015,4530,60,שמעון
135791590,15/08/2015,29/08/2015,4531,300,שמעון
135791605,01/08/2015,29/08/2015,4532,25,שמעון
135791620,01/08/2015,29/08/2015,4533,40,שמעון
135791635,01/08/2015,29/08/2015,4534,105,שמעון
135791650,01/08/2015,29/08/2015,4535,110,שמעון
135791665,01/08/2015,29/08/2015,4536,150,שמעון
135791680,15/08/2015,29/08/2015,4537,155,מיכל
135791695,01/08/2015,29/08/2015,4538,163,מיכל
135791710,15/07/2015,29/08/2015,4539,133,מיכל
135791725,01/08/2015,29/08/2015,4540,138,מיכל
135791740,01/08/2015,29/08/2015,4541,150,מיכל
135791755,15/08/2015,29/08/2015,4542,100,מיכל
135791770,01/08/2015,29/08/2015,4543,23,מיכל
135791785,01/08/2015,29/08/2015,4544,28,מיכל
135791800,01/08/2015,29/08/2015,4545,278,מיכל
135791815,01/08/2015,29/08/2015,4546,213,מיכל
135791830,01/08/2015,29/08/2015,4547,218,עידן
135791845,01/07/2015,29/08/2015,4548,143,עידן
135791860,01/08/2015,29/08/2015,4549,148,עידן
135791875,01/08/2015,29/08/2015,4550,53,עידן
135791890,01/08/2015,29/08/2015,4551,15,עידן
135791905,15/08/2015,29/08/2015,4552,60,עידן
135791920,01/08/2015,29/08/2015,4553,65,עידן
135791935,01/08/2015,29/08/2015,4554,253,עידן
135791950,01/08/2015,29/08/2015,4555,175,עידן
135791965,15/08/2015,29/08/2015,4556,283,עידן
135791980,01/08/2015,29/08/2015,4557,288,גל
135791995,01/08/2015,29/08/2015,4558,200,גל
135792010,01/08/2015,29/08/2015,4559,205,גל
135792025,15/07/2015,29/08/2015,4560,210,גל
135792040,01/08/2015,29/08/2015,4561,250,גל
135792055,01/08/2015,29/08/2015,4562,255,גל
135792070,01/08/2015,29/08/2015,4563,125,גל
135792085,01/08/2015,29/08/2015,4564,130,גל
135792100,01/08/2015,29/08/2015,4565,155,גל
135792115,01/08/2015,29/08/2015,4566,160,גל
135792130,01/08/2015,29/08/2015,4567,25,גל
135792145,01/08/2015,29/08/2015,4568,30,גל
135792160,01/07/2015,29/08/2015,4569,35,גל
135792175,15/08/2015,29/08/2015,4570,40,מעיין
135792190,01/08/2015,29/08/2015,4571,30,מעיין
135792205,01/08/2015,29/08/2015,4572,75,מעיין
135792220,01/08/2015,29/08/2015,4573,100,מעיין
135792235,01/08/2015,29/08/2015,4574,105,מעיין
135792250,01/08/2015,29/08/2015,4575,180,מעיין
135792265,01/08/2015,29/08/2015,4576,210,מעיין
135792280,01/08/2015,29/08/2015,4577,180,מעיין
135792295,01/08/2015,29/08/2015,4578,203,מעיין
135792310,01/08/2015,29/08/2015,4579,260,מעיין
135792325,01/08/2015,29/08/2015,4580,265,מעיין
135792340,15/07/2015,29/08/2015,4581,270,ירדן
135792355,01/08/2015,29/08/2015,4582,150,ירדן
135792370,01/08/2015,29/08/2015,4583,133,ירדן
135792385,01/08/2015,29/08/2015,4584,153,ירדן
135792400,15/08/2015,29/08/2015,4585,158,ירדן
135792415,01/08/2015,29/08/2015,4586,250,ירדן
135792430,01/08/2015,29/08/2015,4587,288,ירדן
135792445,01/08/2015,29/08/2015,4588,53,ירדן
135792460,15/08/2015,29/08/2015,4589,15,ירדן
135792475,01/07/2015,29/08/2015,4590,200,ירדן
135792490,01/07/2015,29/08/2015,4591,75,עמית
135792505,01/08/2015,29/08/2015,4592,80,עמית
135792520,01/08/2015,29/08/2015,4593,105,עמית
135792535,01/08/2015,29/08/2015,4594,153,עמית
135792550,01/08/2015,29/08/2015,4595,140,עמית
135792565,01/08/2015,29/08/2015,4596,28,עמית
