Id,created,updated,clientSystemId,groupId,points
135791125,01/08/2015,29/08/2015,4500,נויה,100
135791140,01/08/2015,29/08/2015,4501,נויה,102
135791155,15/07/2015,29/08/2015,4502,נויה,30
135791170,01/08/2015,29/08/2015,4503,נויה,40
135791185,01/08/2015,29/08/2015,4504,נויה,42
135791200,15/08/2015,29/08/2015,4505,נויה,78
135791215,01/08/2015,29/08/2015,4506,נויה,80
135791230,01/07/2015,29/08/2015,4507,נויה,8
135791245,01/08/2015,29/08/2015,4508,נויה,14
135791260,01/08/2015,29/08/2015,4509,נויה,60
135791275,01/08/2015,29/08/2015,4510,נויה,62
135791290,01/07/2015,29/08/2015,4511,יפית,64
135791305,15/07/2015,29/08/2015,4512,יפית,9
135791320,01/08/2015,29/08/2015,4513,יפית,22
135791335,15/07/2015,29/08/2015,4514,יפית,24
135791350,01/08/2015,29/08/2015,4515,יפית,40
135791365,01/08/2015,29/08/2015,4516,יפית,60
135791380,01/08/2015,29/08/2015,4517,יפית,62
135791395,15/07/2015,29/08/2015,4518,יפית,80
135791410,01/08/2015,29/08/2015,4519,יפית,112
135791425,15/08/2015,29/08/2015,4520,יפית,40
135791440,01/08/2015,29/08/2015,4521,יותם,60
135791455,01/08/2015,29/08/2015,4522,יותם,62
135791470,01/08/2015,29/08/2015,4523,יותם,10
135791485,01/08/2015,29/08/2015,4524,יותם,12
135791500,15/08/2015,29/08/2015,4525,יותם,104
135791515,01/08/2015,29/08/2015,4526,יותם,106
135791530,01/07/2015,29/08/2015,4527,יותם,80
135791545,01/08/2015,29/08/2015,4528,שמעון,82
135791560,01/08/2015,29/08/2015,4529,שמעון,22
135791575,01/08/2015,29/08/2015,4530,שמעון,24
135791590,15/08/2015,29/08/2015,4531,שמעון,120
135791605,01/08/2015,29/08/2015,4532,שמעון,10
135791620,01/08/2015,29/08/2015,4533,שמעון,16
135791635,01/08/2015,29/08/2015,4534,שמעון,42
135791650,01/08/2015,29/08/2015,4535,שמעון,44
135791665,01/08/2015,29/08/2015,4536,שמעון,60
135791680,15/08/2015,29/08/2015,4537,מיכל,62
135791695,01/08/2015,29/08/2015,4538,מיכל,65
135791710,15/07/2015,29/08/2015,4539,מיכל,53
135791725,01/08/2015,29/08/2015,4540,מיכל,55
135791740,01/08/2015,29/08/2015,4541,מיכל,60
135791755,15/08/2015,29/08/2015,4542,מיכל,40
135791770,01/08/2015,29/08/2015,4543,מיכל,9
135791785,01/08/2015,29/08/2015,4544,מיכל,11
135791800,01/08/2015,29/08/2015,4545,מיכל,111
135791815,01/08/2015,29/08/2015,4546,מיכל,85
135791830,01/08/2015,29/08/2015,4547,עידן,87
135791845,01/07/2015,29/08/2015,4548,עידן,57
135791860,01/08/2015,29/08/2015,4549,עידן,59
135791875,01/08/2015,29/08/2015,4550,עידן,21
135791890,01/08/2015,29/08/2015,4551,עידן,6
135791905,15/08/2015,29/08/2015,4552,עידן,24
135791920,01/08/2015,29/08/2015,4553,עידן,26
135791935,01/08/2015,29/08/2015,4554,עידן,100
135791950,01/08/2015,29/08/2015,4555,עידן,70
135791965,15/08/2015,29/08/2015,4556,עידן,113
135791980,01/08/2015,29/08/2015,4557,גל,115
135791995,01/08/2015,29/08/2015,4558,גל,80
135792010,01/08/2015,29/08/2015,4559,גל,82
135792025,15/07/2015,29/08/2015,4560,גל,84
135792040,01/08/2015,29/08/2015,4561,גל,100
135792055,01/08/2015,29/08/2015,4562,גל,102
135792070,01/08/2015,29/08/2015,4563,גל,50
135792085,01/08/2015,29/08/2015,4564,גל,52
135792100,01/08/2015,29/08/2015,4565,גל,62
135792115,01/08/2015,29/08/2015,4566,גל,64
135792130,01/08/2015,29/08/2015,4567,גל,10
135792145,01/08/2015,29/08/2015,4568,גל,12
135792160,01/07/2015,29/08/2015,4569,גל,14
135792175,15/08/2015,29/08/2015,4570,מעיין,16
135792190,01/08/2015,29/08/2015,4571,מעיין,12
135792205,01/08/2015,29/08/2015,4572,מעיין,30
135792220,01/08/2015,29/08/2015,4573,מעיין,40
135792235,01/08/2015,29/08/2015,4574,מעיין,42
135792250,01/08/2015,29/08/2015,4575,מעיין,72
135792265,01/08/2015,29/08/2015,4576,מעיין,84
135792280,01/08/2015,29/08/2015,4577,מעיין,72
135792295,01/08/2015,29/08/2015,4578,מעיין,81
135792310,01/08/2015,29/08/2015,4579,מעיין,104
135792325,01/08/2015,29/08/2015,4580,מעיין,106
135792340,15/07/2015,29/08/2015,4581,ירדן,108
135792355,01/08/2015,29/08/2015,4582,ירדן,60
135792370,01/08/2015,29/08/2015,4583,ירדן,53
135792385,01/08/2015,29/08/2015,4584,ירדן,61
135792400,15/08/2015,29/08/2015,4585,ירדן,63
135792415,01/08/2015,29/08/2015,4586,ירדן,100
135792430,01/08/2015,29/08/2015,4587,ירדן,115
135792445,01/08/2015,29/08/2015,4588,ירדן,21
135792460,15/08/2015,29/08/2015,4589,ירדן,6
135792475,01/07/2015,29/08/2015,4590,ירדן,80
135792490,01/07/2015,29/08/2015,4591,עמית,30
135792505,01/08/2015,29/08/2015,4592,עמית,32
135792520,01/08/2015,29/08/2015,4593,עמית,42
135792535,01/08/2015,29/08/2015,4594,עמית,61
135792550,01/08/2015,29/08/2015,4595,עמית,56
135792565,01/08/2015,29/08/2015,4596,עמית,11
135792580,01/08/2015,29/08/2015,4597,עמית,13
135792595,01/08/2015,29/08/2015,4598,עמית,104
135792610,01/08/2015,29/08/2015,4599,עמית,106
